Sr No,date,startup,vertical,city,investors,round,amount
859,2017-03-04,SmartCoin,Consumer Internet,Bangalore,Unicorn India Ventures & Others,Private Equity,0
860,2017-04-04,WayCool,Food & Beverage,Chennai,Aspada Investments,Private Equity,2700000
861,2017-04-04,Perfios,Technology,Bangalore,Bessemer Venture Partners,Private Equity,6100000
862,2017-04-04,Whatfix,Technology,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,3690000
863,2017-04-04,ElastiRun,Technology,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,7000000
864,2017-04-04,Trukky,Consumer Internet,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,500000
865,2017-04-04,Konsult App,Consumer Internet,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,500000
866,2017-05-04,Credit Sudhaar,Consumer Internet,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,0
867,2017-05-04,Fingerlix,Consumer Internet,Mumbai,Zephyr Peacock India,Private Equity,3000000
868,2017-05-04,DataWeave,Technology,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,0
869,2017-06-04,Medwell Ventures,Healthcare,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,21000000
870,2017-06-04,Mech Mocha,Consumer Internet,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,5000000
871,2017-07-04,Startup Buddy,Consumer Internet,Gurgaon,"YouWeCan Ventures,",Seed Funding,0
872,2017-07-04,QorQI,Healthcare,Noida,Paytm,Seed Funding,0
873,2017-07-04,Twenty Two Motors,Technology,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,0
874,2017-07-04,PharmEasy,eCommerce,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,18000000
875,2017-08-04,WonderChef,eCommerce,Mumbai,Labruyere Eberl\\xc3\\xa9,Private Equity,0
876,2017-08-04,FastFox,Consumer Internet,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,4600000
877,2017-10-04,Omnify,Technology,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,150000
878,2017-10-04,Capital Float,Consumer Internet,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,2300000
879,2017-11-04,Ninjacart,eCommerce,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,5500000
880,2017-11-04,MergerWare,Technology,Bangalore,Philippe Bouchet,Seed Funding,100000
881,2017-11-04,Sports Flashes,Consumer Internet,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,0
882,2017-12-04,Clovia,eCommerce,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,4000000
883,2017-12-04,Emiza,Logistics,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,4500000
